date,state,district,demo_age_5_17,demo_age_17_plus
2025-01-03,Andaman and Nicobar Islands,Nicobar,32,360
2025-01-03,Andaman and Nicobar Islands,North And Middle Andaman,20,402
2025-01-03,Andaman and Nicobar Islands,South Andaman,74,450
2025-01-03,Andhra Pradesh,Adilabad,390,3950
2025-01-03,Andhra Pradesh,Alluri Sitharama Raju,507,4448
2025-01-03,Andhra Pradesh,Anakapalli,373,2791
2025-01-03,Andhra Pradesh,Anantapur,953,19013
2025-01-03,Andhra Pradesh,Ananthapur,2020,7310
2025-01-03,Andhra Pradesh,Ananthapuramu,2547,7891
2025-01-03,Andhra Pradesh,Annamayya,526,3272
2025-01-03,Andhra Pradesh,Bapatla,232,1653
2025-01-03,Andhra Pradesh,Chittoor,4070,38298
2025-01-03,Andhra Pradesh,Cuddapah,1786,16961
2025-01-03,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,240,2136
2025-01-03,Andhra Pradesh,East Godavari,3391,37620
2025-01-03,Andhra Pradesh,Eluru,283,2536
2025-01-03,Andhra Pradesh,Guntur,3060,40302
2025-01-03,Andhra Pradesh,Hyderabad,695,6045
2025-01-03,Andhra Pradesh,Kakinada,638,4748
2025-01-03,Andhra Pradesh,Karimnagar,93,766
2025-01-03,Andhra Pradesh,Khammam,431,4962
2025-01-03,Andhra Pradesh,Krishna,1711,21831
2025-01-03,Andhra Pradesh,Kurnool,3650,31715
2025-01-03,Andhra Pradesh,Mahabub Nagar,26,184
2025-01-03,Andhra Pradesh,Mahbubnagar,169,1133
2025-01-03,Andhra Pradesh,Medak,215,1387
2025-01-03,Andhra Pradesh,N. T. R,775,6936
2025-01-03,Andhra Pradesh,Nalgonda,146,2240
2025-01-03,Andhra Pradesh,Nandyal,339,2135
2025-01-03,Andhra Pradesh,Nellore,944,16115
2025-01-03,Andhra Pradesh,Nizamabad,53,476
2025-01-03,Andhra Pradesh,Palnadu,323,2765
2025-01-03,Andhra Pradesh,Parvathipuram Manyam,201,1664
2025-01-03,Andhra Pradesh,Prakasam,2116,27970
2025-01-03,Andhra Pradesh,Rangareddi,463,3060
2025-01-03,Andhra Pradesh,Sri Potti Sriramulu Nellore,392,2890
2025-01-03,Andhra Pradesh,Sri Sathya Sai,535,2386
2025-01-03,Andhra Pradesh,Srikakulam,5275,37687
2025-01-03,Andhra Pradesh,Tirupati,478,4139
2025-01-03,Andhra Pradesh,Visakhapatnam,3222,36984
2025-01-03,Andhra Pradesh,Vizianagaram,2141,20324
2025-01-03,Andhra Pradesh,Warangal,728,6167
2025-01-03,Andhra Pradesh,West Godavari,2189,27673
2025-01-03,Andhra Pradesh,Y. S. R,274,1877
2025-01-03,Arunachal Pradesh,Anjaw,24,210
2025-01-03,Arunachal Pradesh,Changlang,73,1120
2025-01-03,Arunachal Pradesh,East Siang,19,151
2025-01-03,Arunachal Pradesh,Kra Daadi,26,105
2025-01-03,Arunachal Pradesh,Lohit,30,234
2025-01-03,Arunachal Pradesh,Longding,45,285
2025-01-03,Arunachal Pradesh,Lower Dibang Valley,36,249
2025-01-03,Arunachal Pradesh,Lower Siang,22,66
2025-01-03,Arunachal Pradesh,Lower Subansiri,41,280
2025-01-03,Arunachal Pradesh,Namsai,50,553
2025-01-03,Arunachal Pradesh,Papum Pare,163,1311
2025-01-03,Arunachal Pradesh,Siang,25,159
2025-01-03,Arunachal Pradesh,Tawang,27,117
2025-01-03,Arunachal Pradesh,Tirap,18,235
2025-01-03,Arunachal Pradesh,Upper Siang,12,40
2025-01-03,Arunachal Pradesh,Upper Subansiri,106,570
2025-01-03,Arunachal Pradesh,West Kameng,25,116
2025-01-03,Arunachal Pradesh,West Siang,110,1156
2025-01-03,Assam,Baksa,397,4438
2025-01-03,Assam,Barpeta,821,9181
2025-01-03,Assam,Biswanath,227,2732
2025-01-03,Assam,Bongaigaon,699,8681
2025-01-03,Assam,Cachar,1234,10000
2025-01-03,Assam,Charaideo,145,1953
2025-01-03,Assam,Chirang,179,1711
2025-01-03,Assam,Darrang,661,5819
2025-01-03,Assam,Dhemaji,534,5979
2025-01-03,Assam,Dhubri,1070,10824
2025-01-03,Assam,Dibrugarh,338,5542
2025-01-03,Assam,Goalpara,768,6461
2025-01-03,Assam,Golaghat,587,8416
2025-01-03,Assam,Hailakandi,211,1822
2025-01-03,Assam,Hojai,319,3439
2025-01-03,Assam,Jorhat,320,5231
2025-01-03,Assam,Kamrup,319,5222
2025-01-03,Assam,Kamrup Metro,579,5320
2025-01-03,Assam,Karbi Anglong,675,6192
2025-01-03,Assam,Karimganj,567,5374
2025-01-03,Assam,Kokrajhar,538,3272
2025-01-03,Assam,Lakhimpur,577,9766
2025-01-03,Assam,Majuli,55,569
2025-01-03,Assam,Marigaon,1006,7948
2025-01-03,Assam,Nagaon,1216,16723
2025-01-03,Assam,Nalbari,509,4658
2025-01-03,Assam,North Cachar Hills,74,648
2025-01-03,Assam,Sibsagar,146,1460
2025-01-03,Assam,Sonitpur,802,9796
2025-01-03,Assam,South Salmara Mankachar,197,3153
2025-01-03,Assam,Tinsukia,499,7786
2025-01-03,Assam,Udalguri,367,4869
2025-01-03,Assam,West Karbi Anglong,56,360
2025-01-03,Bihar,Araria,2774,32707
2025-01-03,Bihar,Arwal,558,5961
2025-01-03,Bihar,Aurangabad,2788,23698
2025-01-03,Bihar,Banka,2100,23353
2025-01-03,Bihar,Begusarai,3601,28482
2025-01-03,Bihar,Bhagalpur,4949,37353
2025-01-03,Bihar,Bhojpur,2688,29327
2025-01-03,Bihar,Buxar,1661,18351
2025-01-03,Bihar,Darbhanga,2612,28474
2025-01-03,Bihar,East Champaran,4175,47030
2025-01-03,Bihar,Gaya,5828,49924
2025-01-03,Bihar,Gopalganj,2129,22709
2025-01-03,Bihar,Jamui,1393,15286
2025-01-03,Bihar,Jehanabad,988,8898
2025-01-03,Bihar,Kaimur (Bhabua),847,8728
2025-01-03,Bihar,Katihar,2845,33082
2025-01-03,Bihar,Khagaria,1450,12708
2025-01-03,Bihar,Kishanganj,1811,25016
2025-01-03,Bihar,Lakhisarai,777,7918
2025-01-03,Bihar,Madhepura,1283,17649
2025-01-03,Bihar,Madhubani,3407,41495
2025-01-03,Bihar,Munger,992,13363
2025-01-03,Bihar,Muzaffarpur,4456,42818
2025-01-03,Bihar,Nalanda,2310,21564
2025-01-03,Bihar,Nawada,1429,16428
2025-01-03,Bihar,Patna,4807,41971
2025-01-03,Bihar,Purnia,2194,26114
2025-01-03,Bihar,Rohtas,2121,19596
2025-01-03,Bihar,Saharsa,1584,18727
2025-01-03,Bihar,Samastipur,4382,44385
2025-01-03,Bihar,Saran,3695,41077
2025-01-03,Bihar,Sheikhpura,490,5055
2025-01-03,Bihar,Sheohar,778,7797
2025-01-03,Bihar,Sitamarhi,3044,36696
2025-01-03,Bihar,Siwan,2637,26684
2025-01-03,Bihar,Supaul,1661,29320
2025-01-03,Bihar,Vaishali,3660,39009
2025-01-03,Bihar,West Champaran,4317,42725
2025-01-03,Chandigarh,Chandigarh,1296,8949
2025-01-03,Chhattisgarh,Balod,827,10913
2025-01-03,Chhattisgarh,Baloda Bazar,369,16044
2025-01-03,Chhattisgarh,Balrampur,392,4458
2025-01-03,Chhattisgarh,Bastar,878,10394
2025-01-03,Chhattisgarh,Bemetara,354,10548
2025-01-03,Chhattisgarh,Bijapur,294,3385
2025-01-03,Chhattisgarh,Bilaspur,1066,19431
2025-01-03,Chhattisgarh,Dakshin Bastar Dantewada,364,771
2025-01-03,Chhattisgarh,Dantewada,162,243
2025-01-03,Chhattisgarh,Dhamtari,382,10273
2025-01-03,Chhattisgarh,Durg,1512,10144
2025-01-03,Chhattisgarh,Gariyaband,122,5062
2025-01-03,Chhattisgarh,Gaurela-pendra-marwahi,79,773
2025-01-03,Chhattisgarh,Janjgir-champa,1438,30658
2025-01-03,Chhattisgarh,Jashpur,1352,6992
2025-01-03,Chhattisgarh,Kabeerdham,215,3840
2025-01-03,Chhattisgarh,Kanker,558,4198
2025-01-03,Chhattisgarh,Kawardha,637,17645
2025-01-03,Chhattisgarh,Kondagaon,114,1192
2025-01-03,Chhattisgarh,Korba,223,4727
2025-01-03,Chhattisgarh,Koriya,413,3746
2025-01-03,Chhattisgarh,Mahasamund,309,3131
2025-01-03,Chhattisgarh,Mohalla-Manpur-Ambagarh Chowki,14,54
2025-01-03,Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,99,611
2025-01-03,Chhattisgarh,Mungeli,278,15373
2025-01-03,Chhattisgarh,Narayanpur,358,1920
2025-01-03,Chhattisgarh,Raigarh,1833,19707
2025-01-03,Chhattisgarh,Raipur,1175,20034
2025-01-03,Chhattisgarh,Rajnandgaon,886,24246
2025-01-03,Chhattisgarh,Sakti,99,789
2025-01-03,Chhattisgarh,Sukma,260,1427
2025-01-03,Chhattisgarh,Surajpur,570,7642
2025-01-03,Chhattisgarh,Surguja,939,11184
2025-01-03,Chhattisgarh,Uttar Bastar Kanker,128,1212
2025-01-03,Dadra and Nagar Haveli,Dadra and Nagar Haveli,49,593
2025-01-03,Dadra and Nagar Haveli and Daman and Diu,Daman,34,572
2025-01-03,Dadra and Nagar Haveli and Daman and Diu,Diu,35,156
2025-01-03,Daman and Diu,Daman,18,186
2025-01-03,Delhi,Central Delhi,1049,12943
2025-01-03,Delhi,East Delhi,1926,16285
2025-01-03,Delhi,New Delhi,252,1390
2025-01-03,Delhi,North Delhi,965,11456
2025-01-03,Delhi,North East,23,2908
2025-01-03,Delhi,North East Delhi,2275,15592
2025-01-03,Delhi,North West Delhi,6373,62825
2025-01-03,Delhi,Shahdara,660,4206
2025-01-03,Delhi,South Delhi,2881,36563
2025-01-03,Delhi,South West Delhi,3502,32761
2025-01-03,Delhi,West Delhi,4328,45156
2025-01-03,Goa,North Goa,653,3568
2025-01-03,Goa,South Goa,570,2780
2025-01-03,Gujarat,Ahmedabad,9162,55255
2025-01-03,Gujarat,Amreli,1128,7235
2025-01-03,Gujarat,Anand,1001,11416
2025-01-03,Gujarat,Arvalli,740,1351
2025-01-03,Gujarat,Banaskantha,2962,12676
2025-01-03,Gujarat,Bharuch,2761,13952
2025-01-03,Gujarat,Bhavnagar,2409,14481
2025-01-03,Gujarat,Botad,721,1931
2025-01-03,Gujarat,Chhotaudepur,740,2493
2025-01-03,Gujarat,Dahod,2071,11658
2025-01-03,Gujarat,Devbhumi Dwarka,167,1511
2025-01-03,Gujarat,Dohad,42,920
2025-01-03,Gujarat,Gandhinagar,1801,12352
2025-01-03,Gujarat,Gir Somnath,933,2191
2025-01-03,Gujarat,Jamnagar,1436,11597
2025-01-03,Gujarat,Junagadh,1663,9295
2025-01-03,Gujarat,Kachchh,2113,10502
2025-01-03,Gujarat,Kheda,3116,17120
2025-01-03,Gujarat,Mahesana,2590,12569
2025-01-03,Gujarat,Mahisagar,238,1710
2025-01-03,Gujarat,Morbi,552,2353
2025-01-03,Gujarat,Narmada,955,3082
2025-01-03,Gujarat,Navsari,2844,8310
2025-01-03,Gujarat,Panchmahals,878,6690
2025-01-03,Gujarat,Patan,988,6330
2025-01-03,Gujarat,Porbandar,829,3297
2025-01-03,Gujarat,Rajkot,2099,22508
2025-01-03,Gujarat,Sabarkantha,2777,10632
2025-01-03,Gujarat,Surat,7172,56297
2025-01-03,Gujarat,Surendra Nagar,1653,12061
2025-01-03,Gujarat,Tapi,1115,3072
2025-01-03,Gujarat,The Dangs,484,1400
2025-01-03,Gujarat,Vadodara,3492,27140
2025-01-03,Gujarat,Valsad,3409,11950
2025-01-03,Haryana,Ambala,516,4084
2025-01-03,Haryana,Bhiwani,601,5350
2025-01-03,Haryana,Charkhi Dadri,312,2114
2025-01-03,Haryana,Faridabad,2675,21482
2025-01-03,Haryana,Fatehabad,802,7118
2025-01-03,Haryana,Gurgaon,2270,19163
2025-01-03,Haryana,Hisar,1003,9821
2025-01-03,Haryana,Jhajjar,808,5900
2025-01-03,Haryana,Jind,673,5955
2025-01-03,Haryana,Kaithal,969,8135
2025-01-03,Haryana,Karnal,1203,9116
2025-01-03,Haryana,Kurukshetra,636,4982
2025-01-03,Haryana,Mahendragarh,478,4766
2025-01-03,Haryana,Mewat,814,7691
2025-01-03,Haryana,Palwal,1067,9937
2025-01-03,Haryana,Panchkula,1000,5478
2025-01-03,Haryana,Panipat,393,2836
2025-01-03,Haryana,Rewari,903,5174
2025-01-03,Haryana,Rohtak,577,3477
2025-01-03,Haryana,Sirsa,669,7127
2025-01-03,Haryana,Sonipat,1089,8791
2025-01-03,Haryana,Yamuna Nagar,1085,8223
2025-01-03,Himachal Pradesh,Bilaspur,136,885
2025-01-03,Himachal Pradesh,Chamba,1006,3938
2025-01-03,Himachal Pradesh,Hamirpur,103,756
2025-01-03,Himachal Pradesh,Kangra,960,7812
2025-01-03,Himachal Pradesh,Kullu,273,1431
2025-01-03,Himachal Pradesh,Mandi,730,3372
2025-01-03,Himachal Pradesh,Shimla,378,2808
2025-01-03,Himachal Pradesh,Sirmaur,729,3559
2025-01-03,Himachal Pradesh,Solan,251,1577
2025-01-03,Himachal Pradesh,Una,121,976
2025-01-03,Jammu and Kashmir,Anantnag,1210,7828
2025-01-03,Jammu and Kashmir,Badgam,325,3926
2025-01-03,Jammu and Kashmir,Bandipore,369,2119
2025-01-03,Jammu and Kashmir,Baramula,1033,5263
2025-01-03,Jammu and Kashmir,Budgam,1603,3792
2025-01-03,Jammu and Kashmir,Doda,264,2181
2025-01-03,Jammu and Kashmir,Ganderbal,179,1123
2025-01-03,Jammu and Kashmir,Jammu,858,9258
2025-01-03,Jammu and Kashmir,Kargil,82,354
2025-01-03,Jammu and Kashmir,Kathua,407,4528
2025-01-03,Jammu and Kashmir,Kulgam,462,2414
2025-01-03,Jammu and Kashmir,Kupwara,1260,6342
2025-01-03,Jammu and Kashmir,Leh,72,294
2025-01-03,Jammu and Kashmir,Pulwama,559,3044
2025-01-03,Jammu and Kashmir,Punch,767,5067
2025-01-03,Jammu and Kashmir,Rajouri,687,3575
2025-01-03,Jammu and Kashmir,Ramban,397,1482
2025-01-03,Jammu and Kashmir,Reasi,458,2926
2025-01-03,Jammu and Kashmir,Samba,107,948
2025-01-03,Jammu and Kashmir,Shupiyan,417,1491
2025-01-03,Jammu and Kashmir,Srinagar,793,7017
2025-01-03,Jammu and Kashmir,Udhampur,379,4584
2025-01-03,Jharkhand,Bokaro,696,30424
2025-01-03,Jharkhand,Chatra,771,15350
2025-01-03,Jharkhand,Deoghar,839,25753
2025-01-03,Jharkhand,Dhanbad,1576,51451
2025-01-03,Jharkhand,Dumka,1035,23577
2025-01-03,Jharkhand,East Singhbhum,1142,20118
2025-01-03,Jharkhand,Garhwa,422,9519
2025-01-03,Jharkhand,Giridih,2465,65203
2025-01-03,Jharkhand,Godda,702,17494
2025-01-03,Jharkhand,Gumla,502,10116
2025-01-03,Jharkhand,Hazaribag,44,3434
2025-01-03,Jharkhand,Hazaribagh,1426,27417
2025-01-03,Jharkhand,Jamtara,318,11822
2025-01-03,Jharkhand,Khunti,371,7375
2025-01-03,Jharkhand,Kodarma,12,551
2025-01-03,Jharkhand,Koderma,324,12209
2025-01-03,Jharkhand,Latehar,627,12455
2025-01-03,Jharkhand,Lohardaga,311,6001
2025-01-03,Jharkhand,Pakaur,46,1333
2025-01-03,Jharkhand,Pakur,1025,22716
2025-01-03,Jharkhand,Palamau,17,1321
2025-01-03,Jharkhand,Palamu,2722,52336
2025-01-03,Jharkhand,Pashchimi Singhbhum,40,2616
2025-01-03,Jharkhand,Ramgarh,625,14401
2025-01-03,Jharkhand,Ranchi,2195,35596
2025-01-03,Jharkhand,Sahebganj,1040,22324
2025-01-03,Jharkhand,Sahibganj,13,662
2025-01-03,Jharkhand,Seraikela-Kharsawan,418,8451
2025-01-03,Jharkhand,Simdega,458,8904
2025-01-03,Jharkhand,West Singhbhum,771,14735
2025-01-03,Karnataka,Bagalkot,6710,9754
2025-01-03,Karnataka,Bagalkot *,24,87
2025-01-03,Karnataka,Ballari,1424,5310
2025-01-03,Karnataka,Bangalore,756,8034
2025-01-03,Karnataka,Bangalore Rural,492,5093
2025-01-03,Karnataka,Belagavi,6504,11546
2025-01-03,Karnataka,Belgaum,6671,12317
2025-01-03,Karnataka,Bellary,1163,5712
2025-01-03,Karnataka,Bengaluru,7330,50407
2025-01-03,Karnataka,Bidar,1812,10301
2025-01-03,Karnataka,Bijapur,2894,6420
2025-01-03,Karnataka,Chamrajanagar,954,3983
2025-01-03,Karnataka,Chamrajnagar,28,24
2025-01-03,Karnataka,Chickmagalur,181,1449
2025-01-03,Karnataka,Chikkaballapur,1083,7919
2025-01-03,Karnataka,Chikkamagaluru,588,2431
2025-01-03,Karnataka,Chitradurga,1400,9013
2025-01-03,Karnataka,Dakshina Kannada,2446,14069
2025-01-03,Karnataka,Davanagere,58,272
2025-01-03,Karnataka,Davangere,1520,5814
2025-01-03,Karnataka,Dharwad,4738,9235
2025-01-03,Karnataka,Gadag,3851,5201
2025-01-03,Karnataka,Gadag *,53,85
2025-01-03,Karnataka,Gulbarga,524,3348
2025-01-03,Karnataka,Hasan,25,166
2025-01-03,Karnataka,Hassan,1467,6522
2025-01-03,Karnataka,Haveri,6278,6725
2025-01-03,Karnataka,Haveri *,88,192
2025-01-03,Karnataka,Kalaburagi,1892,6192
2025-01-03,Karnataka,Kodagu,299,2302
2025-01-03,Karnataka,Kolar,1094,8671
2025-01-03,Karnataka,Koppal,1920,7737
2025-01-03,Karnataka,Mandya,1103,9607
2025-01-03,Karnataka,Mysore,317,2686
2025-01-03,Karnataka,Mysuru,1308,7910
2025-01-03,Karnataka,Raichur,1203,7460
2025-01-03,Karnataka,Ramanagar,966,7350
2025-01-03,Karnataka,Shimoga,309,2224
2025-01-03,Karnataka,Shivamogga,1894,6956
2025-01-03,Karnataka,Tumakuru,1286,6218
2025-01-03,Karnataka,Tumkur,883,5608
2025-01-03,Karnataka,Udupi,1135,6735
2025-01-03,Karnataka,Uttara Kannada,1738,7666
2025-01-03,Karnataka,Vijayanagara,859,3421
2025-01-03,Karnataka,Vijayapura,4662,5395
2025-01-03,Karnataka,Yadgir,2116,7682
2025-01-03,Kerala,Alappuzha,206,2629
2025-01-03,Kerala,Ernakulam,926,9472
2025-01-03,Kerala,Idukki,129,1430
2025-01-03,Kerala,Kannur,700,6329
2025-01-03,Kerala,Kasaragod,540,4127
2025-01-03,Kerala,Kollam,621,5923
2025-01-03,Kerala,Kottayam,87,953
2025-01-03,Kerala,Kozhikode,1741,15244
2025-01-03,Kerala,Malappuram,1981,21196
2025-01-03,Kerala,Palakkad,532,5546
2025-01-03,Kerala,Pathanamthitta,63,573
2025-01-03,Kerala,Thiruvananthapuram,888,8851
2025-01-03,Kerala,Thrissur,586,4978
2025-01-03,Kerala,Wayanad,410,4189
2025-01-03,Ladakh,Kargil,309,637
2025-01-03,Ladakh,Leh,440,1180
2025-01-03,Madhya Pradesh,Agar Malwa,200,1966
2025-01-03,Madhya Pradesh,Alirajpur,504,6836
2025-01-03,Madhya Pradesh,Anuppur,353,3860
2025-01-03,Madhya Pradesh,Ashok Nagar,767,7226
2025-01-03,Madhya Pradesh,Balaghat,2745,17133
2025-01-03,Madhya Pradesh,Barwani,1605,12675
2025-01-03,Madhya Pradesh,Betul,1826,9784
2025-01-03,Madhya Pradesh,Bhind,1482,13377
2025-01-03,Madhya Pradesh,Bhopal,1844,15489
2025-01-03,Madhya Pradesh,Burhanpur,753,3189
2025-01-03,Madhya Pradesh,Chhatarpur,2585,21358
2025-01-03,Madhya Pradesh,Chhindwara,2400,11513
2025-01-03,Madhya Pradesh,Damoh,929,10846
2025-01-03,Madhya Pradesh,Datia,913,7399
2025-01-03,Madhya Pradesh,Dewas,1095,12830
2025-01-03,Madhya Pradesh,Dhar,2248,14409
2025-01-03,Madhya Pradesh,Dindori,676,6609
2025-01-03,Madhya Pradesh,East Nimar,381,2508
2025-01-03,Madhya Pradesh,Guna,688,10221
2025-01-03,Madhya Pradesh,Gwalior,2014,15266
2025-01-03,Madhya Pradesh,Harda,400,1895
2025-01-03,Madhya Pradesh,Harda *,74,692
2025-01-03,Madhya Pradesh,Hoshangabad,359,1994
2025-01-03,Madhya Pradesh,Indore,3265,22947
2025-01-03,Madhya Pradesh,Jabalpur,1578,19130
2025-01-03,Madhya Pradesh,Jhabua,870,11823
2025-01-03,Madhya Pradesh,Katni,967,10714
2025-01-03,Madhya Pradesh,Khandwa,1775,3894
2025-01-03,Madhya Pradesh,Khargone,1713,10477
2025-01-03,Madhya Pradesh,Maihar,79,923
2025-01-03,Madhya Pradesh,Mandla,1352,8364
2025-01-03,Madhya Pradesh,Mandsaur,3894,14326
2025-01-03,Madhya Pradesh,Mauganj,48,920
2025-01-03,Madhya Pradesh,Morena,2789,29633
2025-01-03,Madhya Pradesh,Narmadapuram,90,799
2025-01-03,Madhya Pradesh,Narsimhapur,32,502
2025-01-03,Madhya Pradesh,Narsinghpur,747,5150
2025-01-03,Madhya Pradesh,Neemuch,949,6505
2025-01-03,Madhya Pradesh,Niwari,71,473
2025-01-03,Madhya Pradesh,Panna,673,10956
2025-01-03,Madhya Pradesh,Raisen,1156,8260
2025-01-03,Madhya Pradesh,Rajgarh,2106,10399
2025-01-03,Madhya Pradesh,Ratlam,1486,15805
2025-01-03,Madhya Pradesh,Rewa,1868,18520
2025-01-03,Madhya Pradesh,Sagar,1128,16281
2025-01-03,Madhya Pradesh,Satna,2019,19467
2025-01-03,Madhya Pradesh,Sehore,805,4280
2025-01-03,Madhya Pradesh,Seoni,2012,18208
2025-01-03,Madhya Pradesh,Shahdol,971,13170
2025-01-03,Madhya Pradesh,Shajapur,731,5170
2025-01-03,Madhya Pradesh,Sheopur,822,7501
2025-01-03,Madhya Pradesh,Shivpuri,2480,23237
2025-01-03,Madhya Pradesh,Sidhi,1155,13579
2025-01-03,Madhya Pradesh,Singrauli,925,7434
2025-01-03,Madhya Pradesh,Tikamgarh,2254,13150
2025-01-03,Madhya Pradesh,Ujjain,2175,15113
2025-01-03,Madhya Pradesh,Umaria,646,8332
2025-01-03,Madhya Pradesh,Vidisha,1146,5752
2025-01-03,Madhya Pradesh,West Nimar,22,43
2025-01-03,Maharashtra,Ahmadnagar,1274,27685
2025-01-03,Maharashtra,Akola,556,9714
2025-01-03,Maharashtra,Amravati,1169,13166
2025-01-03,Maharashtra,Aurangabad,1241,20315
2025-01-03,Maharashtra,Beed,1133,27733
2025-01-03,Maharashtra,Bhandara,268,5318
2025-01-03,Maharashtra,Buldhana,872,12410
2025-01-03,Maharashtra,Chandrapur,355,8933
2025-01-03,Maharashtra,Chatrapati Sambhaji Nagar,176,2120
2025-01-03,Maharashtra,Chhatrapati Sambhajinagar,208,1559
2025-01-03,Maharashtra,Dharashiv,22,141
2025-01-03,Maharashtra,Dhule,454,6315
2025-01-03,Maharashtra,Gadchiroli,222,3588
2025-01-03,Maharashtra,Gondiya,415,4676
2025-01-03,Maharashtra,Hingoli,390,10091
2025-01-03,Maharashtra,Jalgaon,1160,16617
2025-01-03,Maharashtra,Jalna,927,11590
2025-01-03,Maharashtra,Kolhapur,868,15179
2025-01-03,Maharashtra,Latur,877,18154
2025-01-03,Maharashtra,Mumbai,1278,23195
2025-01-03,Maharashtra,Mumbai City,984,10942
2025-01-03,Maharashtra,Mumbai Suburban,4058,39957
2025-01-03,Maharashtra,Nagpur,2249,25703
2025-01-03,Maharashtra,Nanded,1084,22465
2025-01-03,Maharashtra,Nandurbar,479,4372
2025-01-03,Maharashtra,Nashik,2083,31017
2025-01-03,Maharashtra,Osmanabad,614,15327
2025-01-03,Maharashtra,Palghar,1624,23551
2025-01-03,Maharashtra,Parbhani,723,13719
2025-01-03,Maharashtra,Pune,5781,74631
2025-01-03,Maharashtra,Raigad,431,4268
2025-01-03,Maharashtra,Raigarh,954,9301
2025-01-03,Maharashtra,Ratnagiri,188,3524
2025-01-03,Maharashtra,Sangli,271,6281
2025-01-03,Maharashtra,Satara,529,10238
2025-01-03,Maharashtra,Sindhudurg,125,2000
2025-01-03,Maharashtra,Solapur,1562,31965
2025-01-03,Maharashtra,Thane,6005,69162
2025-01-03,Maharashtra,Wardha,564,4601
2025-01-03,Maharashtra,Washim,239,3843
2025-01-03,Maharashtra,Yavatmal,1238,21186
2025-01-03,Manipur,Bishnupur,532,4147
2025-01-03,Manipur,Chandel,265,1347
2025-01-03,Manipur,Churachandpur,1006,3708
2025-01-03,Manipur,Imphal East,353,2547
2025-01-03,Manipur,Imphal West,694,5271
2025-01-03,Manipur,Jiribam,11,222
2025-01-03,Manipur,Senapati,605,3069
2025-01-03,Manipur,Tamenglong,231,1505
2025-01-03,Manipur,Thoubal,702,3603
2025-01-03,Manipur,Ukhrul,176,1752
2025-01-03,Meghalaya,East Garo Hills,80,3072
2025-01-03,Meghalaya,East Jaintia Hills,173,1169
2025-01-03,Meghalaya,East Khasi Hills,669,5210
2025-01-03,Meghalaya,North Garo Hills,48,1432
2025-01-03,Meghalaya,Ri Bhoi,331,3073
2025-01-03,Meghalaya,South Garo Hills,85,2130
2025-01-03,Meghalaya,South West Garo Hills,106,3395
2025-01-03,Meghalaya,South West Khasi Hills,368,2872
2025-01-03,Meghalaya,West Garo Hills,287,5326
2025-01-03,Meghalaya,West Jaintia Hills,493,3436
2025-01-03,Meghalaya,West Khasi Hills,586,4691
2025-01-03,Mizoram,Aizawl,744,5276
2025-01-03,Mizoram,Champhai,136,1824
2025-01-03,Mizoram,Kolasib,103,690
2025-01-03,Mizoram,Lawngtlai,39,461
2025-01-03,Mizoram,Lunglei,693,3783
2025-01-03,Mizoram,Mamit,159,737
2025-01-03,Mizoram,Mammit,13,162
2025-01-03,Mizoram,Saiha,107,706
2025-01-03,Mizoram,Serchhip,211,1153
2025-01-03,Nagaland,Chumukedima,62,447
2025-01-03,Nagaland,Dimapur,256,2014
2025-01-03,Nagaland,Kiphire,60,682
2025-01-03,Nagaland,Kohima,48,896
2025-01-03,Nagaland,Mokokchung,38,782
2025-01-03,Nagaland,Mon,162,1192
2025-01-03,Nagaland,Niuland,27,127
2025-01-03,Nagaland,Peren,61,445
2025-01-03,Nagaland,Phek,15,307
2025-01-03,Nagaland,Tuensang,110,1198
2025-01-03,Nagaland,Wokha,70,1022
2025-01-03,Nagaland,Zunheboto,53,498
2025-01-03,Odisha,Angul,1105,8037
2025-01-03,Odisha,Balangir,1097,11075
2025-01-03,Odisha,Baleshwar,73,568
2025-01-03,Odisha,Baleswar,2522,14722
2025-01-03,Odisha,Bargarh,814,7814
2025-01-03,Odisha,Bhadrak,2025,12398
2025-01-03,Odisha,Boudh,172,1820
2025-01-03,Odisha,Cuttack,1830,17706
2025-01-03,Odisha,Debagarh,247,2013
2025-01-03,Odisha,Dhenkanal,1232,7709
2025-01-03,Odisha,Gajapati,960,7416
2025-01-03,Odisha,Ganjam,3639,31723
2025-01-03,Odisha,JAJPUR,1028,6712
2025-01-03,Odisha,Jagatsinghapur,705,5912
2025-01-03,Odisha,Jajapur,923,6703
2025-01-03,Odisha,Jharsuguda,543,5926
2025-01-03,Odisha,Kalahandi,1217,13544
2025-01-03,Odisha,Kandhamal,1029,8549
2025-01-03,Odisha,Kendrapara,1629,13310
2025-01-03,Odisha,Kendujhar,2478,18143
2025-01-03,Odisha,Khorda,1818,12364
2025-01-03,Odisha,Koraput,965,11547
2025-01-03,Odisha,Malkangiri,721,5296
2025-01-03,Odisha,Mayurbhanj,2569,20726
2025-01-03,Odisha,Nabarangapur,882,14474
2025-01-03,Odisha,Nayagarh,1106,7983
2025-01-03,Odisha,Nuapada,433,4707
2025-01-03,Odisha,Puri,787,7675
2025-01-03,Odisha,Rayagada,1042,9181
2025-01-03,Odisha,Sambalpur,1093,8218
